 ,AAPL,BARC,BRK-B,MCD,TSCO.L,WWE,MSFT,CSIOY,ARW,HIBB,YUM,WINA,DRI,GPC,ALL,AIG,BAC,CB,DIS,JACK,JPM,PGR,UVV,EA
Averages,53.818434073912194,233.0139506485215,95.042207488376789,63.637801775084448,228.91458713412888,15.047395441486186,35.226341435724187,100.44248232187563,40.650578687462804,26.169071915954728,32.20497576793165,50.158011723425339,35.488027172859027,46.447052498708501,43.17721104430759,455.9904402004758,20.99761309159555,58.081477380687673,48.915020046691886,36.58814067434929,42.916298669779287,20.983887771706687,31.594094328180784,46.94135408245571
Volatility,60.744238049942524,81.511171036625157,50.918980006325604,50.711308533081485,69.981229274465704,18.44688704596992,28.18162186124832,43.755141449948681,19.179190671647589,16.118496798492036,27.210364846050723,48.022646930338205,28.489367720878292,28.635363676946664,23.688232839061413,482.86922847595986,9.8697881281222504,42.787254055606233,35.720199106423365,29.528942111409098,26.230379137512276,17.023034539833212,13.606965222301156,30.148593226146929

 ,AAPL,BARC,BRK-B,MCD,TSCO.L,WWE,MSFT,CSIOY,ARW,HIBB,YUM,WINA,DRI,GPC,ALL,AIG,BAC,CB,DIS,JACK,JPM,PGR,UVV,EA
AAPL,1.0,-0.42372740719662266,0.97036207902123439,0.97488626730822059,0.030658074042034654,0.81672284629457537,0.92329184125546859,0.51642575464056562,0.92163533485347338,0.33600821962681493,0.98105374991106153,0.97842548810528851,0.96948260564462285,0.93832738526384885,0.91465629299710027,-0.67399472614136369,-0.036047723897584413,0.96461106709163025,0.9534047178871996,0.90550550549351816,0.95429519611537361,0.92988051278444583,0.89107839497151142,0.72641032944447048
BARC,-0.42372740719662266,1.0,-0.31150212731870519,-0.43615870830474673,0.2158203729651324,-0.27956503449141595,-0.34955725383365727,0.28049783385227006,-0.27796423872848752,-0.10198467518840387,-0.40670292348464754,-0.39011468297970098,-0.33765075977144976,-0.35420012546525081,-0.13353948242638891,0.52418800138301391,0.73571872837550745,-0.36937110705865173,-0.37991852314935004,-0.29112871752204855,-0.30840174161924905,-0.2731381034218251,-0.22674875729971283,0.019752895985668602
BRK-B,0.97036207902123439,-0.31150212731870519,1.0,0.96059924078711822,0.06800483831097727,0.79153320641976332,0.89967995382516719,0.58852447719477796,0.94213309273928947,0.34494415543006468,0.96979012724372082,0.97265341134398819,0.95763780891980421,0.95956450714792141,0.94898893179339527,-0.66105731842788917,0.067249456766179147,0.97915833490775028,0.95643572938120414,0.9388765786674611,0.95910364795712677,0.92516645533733666,0.92784925905183224,0.77124226555011877
MCD,0.97488626730822059,-0.43615870830474673,0.96059924078711822,1.0,0.096640475631671732,0.81896439689119815,0.92471472824564616,0.46858638505628758,0.90579070633852221,0.32698647072212594,0.98894626856617873,0.97206246816693864,0.97240212747850729,0.92716216188564726,0.89191959080683314,-0.70561265774168869,-0.060757002914595098,0.9622381231592293,0.9331632033671271,0.87609396629366354,0.94738674194830474,0.93637030542775446,0.89613733564806075,0.6883928864967831
TSCO.L,0.030658074042034654,0.2158203729651324,0.06800483831097727,0.096640475631671732,1.0,-0.029240292350878293,-0.12385751887919173,-0.0041768678133051384,0.0063504992549929841,0.57577878516072334,0.11455765620168459,-0.013322688933353704,0.027161251657789574,0.098045304041456241,-0.071328496067375374,-0.46924889718678375,-0.10049991662618236,0.039617607184631767,-0.047526193862213108,-0.077735499242586978,-0.038503626753053799,-0.019474192781365227,0.19570670942797605,-0.27982077468512884
WWE,0.81672284629457537,-0.27956503449141595,0.79153320641976332,0.81896439689119815,-0.029240292350878293,1.0,0.92695269293194538,0.38930402894245619,0.70088053865986122,-0.019529289013688708,0.80956418375797579,0.81988804435230467,0.87957118534470047,0.68415783577512923,0.78700292417916551,-0.37878098107101588,0.19666539255405635,0.71737438843682055,0.73748205465681016,0.64398935863769791,0.86249120943814628,0.91484444434497925,0.68814554384333393,0.68342030211270377
MSFT,0.92329184125546859,-0.34955725383365727,0.89967995382516719,0.92471472824564616,-0.12385751887919173,0.92695269293194538,1.0,0.47730157783403687,0.84012764906507642,0.042626769576598167,0.91249552584672511,0.92364487094119274,0.95383919216955093,0.80794909646523094,0.9058160863698268,-0.44378290864220871,0.15366185220936798,0.86546616594671733,0.87677354083026848,0.80803935375189828,0.96100708495238829,0.96964299556044387,0.78225373800935316,0.78487815773880909
CSIOY,0.51642575464056562,0.28049783385227006,0.58852447719477796,0.46858638505628758,-0.0041768678133051384,0.38930402894245619,0.47730157783403687,1.0,0.63448074790355713,0.2576304476741994,0.49922800486829499,0.54511632115904163,0.53037123599544667,0.58170250395023193,0.69882551157568884,-0.17719642809390676,0.4885249729591376,0.58201640455766046,0.61161978343283052,0.6621282912286931,0.57145442510711675,0.52839036289956953,0.56561263636553394,0.69289952301167723
ARW,0.92163533485347338,-0.27796423872848752,0.94213309273928947,0.90579070633852221,0.0063504992549929841,0.70088053865986122,0.84012764906507642,0.63448074790355713,1.0,0.36376411800613356,0.91062999192233063,0.92808782751030394,0.89580661071224643,0.93225872490323602,0.91501150085352834,-0.56050693673370222,0.048725554647983109,0.95330996197812223,0.94364941943338143,0.94007048399080728,0.92558326614834918,0.8441051619194645,0.87818979993555124,0.75909081424398961
HIBB,0.33600821962681493,-0.10198467518840387,0.34494415543006468,0.32698647072212594,0.57577878516072334,-0.019529289013688708,0.042626769576598167,0.2576304476741994,0.36376411800613356,1.0,0.3947898022444451,0.33004906233047332,0.24304837782169955,0.52951500115637273,0.21968580387971709,-0.62858682713928826,-0.31076763129240087,0.41022009534709641,0.36128814329830178,0.32443459156569371,0.17027613090496335,0.14860130720407558,0.45471865392799171,-0.085166187892307857
YUM,0.98105374991106153,-0.40670292348464754,0.96979012724372082,0.98894626856617873,0.11455765620168459,0.80956418375797579,0.91249552584672511,0.49922800486829499,0.91062999192233063,0.3947898022444451,1.0,0.98002356857364814,0.97099662944122345,0.95022404766904256,0.90662646539893044,-0.71178032372073874,-0.036613692183660361,0.96947222092002672,0.94566972479159161,0.89028404766559599,0.94043707689832456,0.93676051909855107,0.91057535038477522,0.68790637835208435
WINA,0.97842548810528851,-0.39011468297970098,0.97265341134398819,0.97206246816693864,-0.013322688933353704,0.81988804435230467,0.92364487094119274,0.54511632115904163,0.92808782751030394,0.33004906233047332,0.98002356857364814,1.0,0.97321130084884988,0.95470861759483994,0.9319099337052239,-0.64111993253159572,0.014210418583098022,0.97435045497054096,0.9624023944966219,0.91830511718451813,0.95324609722999176,0.94404871807805635,0.9099238362507317,0.75762479087779178
DRI,0.96948260564462285,-0.33765075977144976,0.95763780891980421,0.97240212747850729,0.027161251657789574,0.87957118534470047,0.95383919216955093,0.53037123599544667,0.89580661071224643,0.24304837782169955,0.97099662944122345,0.97321130084884988,1.0,0.90275625228658551,0.93196023107840642,-0.60795157917265363,0.09308749597913947,0.94094679573443452,0.92085650268276942,0.87837595530244339,0.96551264633182032,0.97471680786075321,0.8894184687642458,0.7770061717520852
GPC,0.93832738526384885,-0.35420012546525081,0.95956450714792141,0.92716216188564726,0.098045304041456241,0.68415783577512923,0.80794909646523094,0.58170250395023193,0.93225872490323602,0.52951500115637273,0.95022404766904256,0.95470861759483994,0.90275625228658551,1.0,0.88774229753358935,-0.72216464350602272,-0.069033254999727317,0.97745856501546535,0.95871115046986954,0.93338588739279427,0.87827145243183391,0.84430430189460781,0.92503885998376156,0.66115413560578362
ALL,0.91465629299710027,-0.13353948242638891,0.94898893179339527,0.89191959080683314,-0.071328496067375374,0.78700292417916551,0.9058160863698268,0.69882551157568884,0.91501150085352834,0.21968580387971709,0.90662646539893044,0.9319099337052239,0.93196023107840642,0.88774229753358935,1.0,-0.44780336910916163,0.30720461612695443,0.92784483970668574,0.9115659163904668,0.91524572294085504,0.95011316324041284,0.93549350407799103,0.87243736617057976,0.88528326438975879
AIG,-0.67399472614136369,0.52418800138301391,-0.66105731842788917,-0.70561265774168869,-0.46924889718678375,-0.37878098107101588,-0.44378290864220871,-0.17719642809390676,-0.56050693673370222,-0.62858682713928826,-0.71178032372073874,-0.64111993253159572,-0.60795157917265363,-0.72216464350602272,-0.44780336910916163,1.0,0.46936004412455856,-0.69226338724481584,-0.62197453434797112,-0.59056131883456475,-0.52958033487029343,-0.50840448802977922,-0.68488179889093426,-0.18163001553606101
BAC,-0.036047723897584413,0.73571872837550745,0.067249456766179147,-0.060757002914595098,-0.10049991662618236,0.19666539255405635,0.15366185220936798,0.4885249729591376,0.048725554647983109,-0.31076763129240087,-0.036613692183660361,0.014210418583098022,0.09308749597913947,-0.069033254999727317,0.30720461612695443,0.46936004412455856,1.0,-0.028299736740747407,-0.041979475819659724,0.044488028249658813,0.15261692465394716,0.21334310893634711,0.05833523049407207,0.51252360715011069
CB,0.96461106709163025,-0.36937110705865173,0.97915833490775028,0.9622381231592293,0.039617607184631767,0.71737438843682055,0.86546616594671733,0.58201640455766046,0.95330996197812223,0.41022009534709641,0.96947222092002672,0.97435045497054096,0.94094679573443452,0.97745856501546535,0.92784483970668574,-0.69226338724481584,-0.028299736740747407,1.0,0.97086848298553674,0.95687948086733998,0.9313290410539109,0.88921804942120619,0.92913310178983244,0.73433243199395692
DIS,0.9534047178871996,-0.37991852314935004,0.95643572938120414,0.9331632033671271,-0.047526193862213108,0.73748205465681016,0.87677354083026848,0.61161978343283052,0.94364941943338143,0.36128814329830178,0.94566972479159161,0.9624023944966219,0.92085650268276942,0.95871115046986954,0.9115659163904668,-0.62197453434797112,-0.041979475819659724,0.97086848298553674,1.0,0.95246481594837029,0.92391125644630256,0.87199282222978947,0.88763901014649149,0.71378570805152364
JACK,0.90550550549351816,-0.29112871752204855,0.9388765786674611,0.87609396629366354,-0.077735499242586978,0.64398935863769791,0.80803935375189828,0.6621282912286931,0.94007048399080728,0.32443459156569371,0.89028404766559599,0.91830511718451813,0.87837595530244339,0.93338588739279427,0.91524572294085504,-0.59056131883456475,0.044488028249658813,0.95687948086733998,0.95246481594837029,1.0,0.89433221224917248,0.81318582096503722,0.88399497372080793,0.78234166973341568
JPM,0.95429519611537361,-0.30840174161924905,0.95910364795712677,0.94738674194830474,-0.038503626753053799,0.86249120943814628,0.96100708495238829,0.57145442510711675,0.92558326614834918,0.17027613090496335,0.94043707689832456,0.95324609722999176,0.96551264633182032,0.87827145243183391,0.95011316324041284,-0.52958033487029343,0.15261692465394716,0.9313290410539109,0.92391125644630256,0.89433221224917248,1.0,0.95562680404137901,0.86243756420457496,0.82052422749414766
PGR,0.92988051278444583,-0.2731381034218251,0.92516645533733666,0.93637030542775446,-0.019474192781365227,0.91484444434497925,0.96964299556044387,0.52839036289956953,0.8441051619194645,0.14860130720407558,0.93676051909855107,0.94404871807805635,0.97471680786075321,0.84430430189460781,0.93549350407799103,-0.50840448802977922,0.21334310893634711,0.88921804942120619,0.87199282222978947,0.81318582096503722,0.95562680404137901,1.0,0.83657826349595754,0.80692144952023748
UVV,0.89107839497151142,-0.22674875729971283,0.92784925905183224,0.89613733564806075,0.19570670942797605,0.68814554384333393,0.78225373800935316,0.56561263636553394,0.87818979993555124,0.45471865392799171,0.91057535038477522,0.9099238362507317,0.8894184687642458,0.92503885998376156,0.87243736617057976,-0.68488179889093426,0.05833523049407207,0.92913310178983244,0.88763901014649149,0.88399497372080793,0.86243756420457496,0.83657826349595754,1.0,0.69739369578636323
EA,0.72641032944447048,0.019752895985668602,0.77124226555011877,0.6883928864967831,-0.27982077468512884,0.68342030211270377,0.78487815773880909,0.69289952301167723,0.75909081424398961,-0.085166187892307857,0.68790637835208435,0.75762479087779178,0.7770061717520852,0.66115413560578362,0.88528326438975879,-0.18163001553606101,0.51252360715011069,0.73433243199395692,0.71378570805152364,0.78234166973341568,0.82052422749414766,0.80692144952023748,0.69739369578636323,1.0
